Titre,Ingrédient_1,Ingrédient_2,Ingrédient_3,Ingrédient_4,Ingrédient_5,Ingrédient_6,Ingrédient_7,Ingrédient_8,Ingrédient_9,Ingrédient_10,Ingrédient_11,Ingrédient_12,Ingrédient_13,Ingrédient_14
Aubergine rôtie aux épices & muhammara maison avec un beurre épicé & de la harissa,Aubergine,Poivron,Mélange d'épices du Moyen-Orient,Pain pita,Harissa,Citron,Persil,Noix de cajou concassées,Huile de sésame,Graines de sésame,Beurre de cacahuètes,,,
Bánh mì ou sandwich vietnamien au poulet avec des légumes marinés & une mayo épicée,Huile de sésame,Demi-baguette de tradition,Concombre,Mayonnaise,Gousse d'ail,Sauce au chili sucrée et épicée,Coriandre,,,,,,,
"Bibimbap coréen tofu, miso & crudités avec de la sriracha & du sésame",Riz,Gousse d'ail,Sauce sriracha,Miso blanc,Riz,Carotte,Concombre,Champignons de Paris,Piri-piri,Tofu,Huile de sésame,Sauce asiatique sucrée,Graines de sésame,
"Bibimbap végétarien au tofu avec du riz, des légumes & un œuf au plat",Tofu nature BIO,Gingembre frais,Gousse d'ail,Carotte,Concombre,Riz,Piri-piri,Miso blanc,Graines de sésame,Huile de sésame,Sauce asiatique sucrée,,,
"Bò Bún végétarien au tofu sauté avec du concombre, de la carotte & des cacahuètes",Gousse d'ail,Échalote,Tofu,Citronnelle,Nouilles plates de riz,Sauce asiatique sucrée,Carotte,Oignon jaune,Concombre,Coriandre et menthe,Cacahuètes non salées,Huile de sésame,,
Bowl d'automne aux falafels saveur coriandre avec de la patate douce & sauce yaourt-menthe,Patate douce,Yaourt à la grecque,Falafels et sauce yaourt-menthe,Menthe,Concombre,Graines de courge,,,,,,,,
Bowl de boulettes veggie thaï avec du portobello & une sauce chili,Gousse d'ail,Oignon,Coriandre,Carotte,Portobello,Riz,Boulette thaï,Sauce soja,Graines de sésame,,,,,
Bowl de boulgour aux légumes rôtis avec des tomates séchées & de la menthe,Patates douces,Chou-fleur,Oignon rouge,Carotte,Cumin en poudre,Boulgour,Tomates semi-séchées,Raisins secs Sultanines,Graines de courge,Menthe,Salade,,,
"Butternut grillé, labneh & beurre noisette au curcuma",Courge butternut,Gousse d'ail,Coriandre moulue,Gingembre frais,Citron,Curcuma en poudre,Gousses d'ail,Lait de coco,Pistaches décortiquées,,,,,
Butternut rôti au zaatar & chèvre frais avec une sauce herbacée & des pickles d’oignon,Gousse d'ail,Oignon rouge,Courge butternut,Zaatar,Citron jaune,Piment,Fromage de chèvre frais,Persil plat et menthe,Yaourt à la grecque,Graines de sésame,Salade,,,
